anger,disgust,fear,happiness,neutral,sadness,surprise
0.016,9.408,1.894,78.329,0.016,10.206,0.131
0,0,0.004,0.001,0.005,99.99,0
0.001,0.001,0.001,99.866,0.001,0.004,0.126
0.031,0.004,0.004,0.004,99.292,0.02,0.646
0.01,0.255,0.018,91.508,7.544,0.654,0.01
1.406,0.012,0.032,0.012,98.33,0.094,0.115
0.009,2.57,0.003,97.387,0.018,0.011,0.003
0,0,0,99.875,0.008,0.117,0
2.911,3.272,32.574,13.659,0.303,0.303,46.979
0.013,0.029,0.545,97.973,1.414,0.013,0.013
0.02,0,0.006,99.974,0,0,0
73.76,0.081,0.18,0.921,15.84,0.981,8.236
0.087,0.087,0.087,2.128,49.724,39.974,7.913
0.011,0.034,0.009,99.768,0.009,0.133,0.038
0.008,0.008,0.038,0.008,91.176,8.687,0.076
0.025,0.167,0.025,12.3,11.515,0.025,75.944
37.682,0.099,4.158,30.514,0.069,26.006,1.472
0.025,0.025,0.025,0.139,47.446,0.027,52.314
0.036,0.019,0.004,66.028,33.904,0.004,0.004
0.047,2.422,83.087,0.108,0.198,0.047,14.091
0.094,1.095,3.976,72.876,1.122,9.43,11.408
0.001,0.001,0.001,96.577,3.083,0.001,0.335
0.015,0.015,7.785,9.791,0.04,0.015,82.34
0.017,1.381,91.621,6.021,0.017,0.317,0.627
0.015,0.04,0.015,76.064,17.57,6.268,0.027
0.054,0.02,0.002,99.837,0.005,0.074,0.008
3.057,0.032,0.032,0.032,95.915,0.526,0.405
0.011,0.011,0.204,2.353,97.267,0.027,0.127
0.047,88.153,2.283,0.601,0.047,0.55,8.32
0.029,0.018,0.012,92.551,0.017,0.012,7.361
0.001,0.015,0.005,99.927,0.007,0.043,0.002
1.001,0.038,1.999,0.038,94.742,0.038,2.145
0.068,0.068,0.174,17.242,12.938,0.068,69.443
0.001,0.001,0.001,99.996,0,0.001,0
99.986,0,0.013,0,0,0,0
0.083,0.026,0.033,92.782,0.135,6.915,0.026
0.018,0.018,0.018,15.382,77.705,0.018,6.84
0.026,0.026,0.026,0.802,25.992,68.355,4.772
0.214,0.214,0.697,53.32,26.441,15.249,3.865
0.012,0.006,0.001,0.001,99.973,0.007,0.001
0,0,0,0.001,99.999,0,0
